symbol,friendly,rows,start,end,status,file
SOLUSDT,SOLANA,20000,2024-02-20,2026-03-12,OK,SOLUSDT_5m.csv.gz
AVAXUSDT,AVAX,20000,2024-02-20,2026-03-12,OK,AVAXUSDT_5m.csv.gz
NEARUSDT,NEAR,20000,2024-02-20,2026-03-12,OK,NEARUSDT_5m.csv.gz
MATICUSDT,MATIC,6048,2024-02-20,2024-03-12,OK,MATICUSDT_5m.csv.gz
ALGOUSDT,ALGO,20000,2024-02-20,2026-03-12,OK,ALGOUSDT_5m.csv.gz
ATOMUSDT,ATOM,20000,2024-02-20,2026-03-12,OK,ATOMUSDT_5m.csv.gz
DOTUSDT,DOT,20000,2024-02-20,2026-03-12,OK,DOTUSDT_5m.csv.gz
ADAUSDT,ADA,20000,2024-02-20,2026-03-12,OK,ADAUSDT_5m.csv.gz
LINKUSDT,LINK,20000,2024-02-20,2026-03-12,OK,LINKUSDT_5m.csv.gz
UNIUSDT,UNI,20000,2024-02-20,2026-03-12,OK,UNIUSDT_5m.csv.gz
APTUSDT,APT,20000,2024-02-20,2026-03-12,OK,APTUSDT_5m.csv.gz
SUIUSDT,SUI,20000,2024-02-20,2026-03-12,OK,SUIUSDT_5m.csv.gz
